query_id,rank,raw_rank,candidate_tile_id,global_score,candidate_scale_level_m,candidate_center_x,candidate_center_y,match_count,inlier_count,inlier_ratio,reproj_error_mean,geom_valid,geom_score,is_truth_hit
q_200m_01,1,3,s120_x255654.480_y3365670.735,0.7571123838424683,120,255654.479752744,3365670.7347813593,8,5,0.625,0.05523242801427841,1,5062.444767571986,0
q_200m_01,2,5,s120_x254598.610_y3365964.565,0.7393828630447388,120,254598.6099540508,3365964.565271766,13,6,0.46153846153846156,0.5057743787765503,1,6045.648071775069,0
q_200m_01,3,1,s120_x254649.058_y3365004.565,0.7782018780708313,120,254649.0576404855,3365004.5652137767,6,4,0.6666666666666666,0.0,0,-1.0,0
q_200m_01,4,2,s80_x255604.480_y3365650.735,0.760802686214447,80,255604.479752744,3365650.7347813593,4,4,1.0,0.0,0,-1.0,0
q_200m_01,5,4,s80_x255062.800_y3365413.601,0.7415209412574768,80,255062.80039608278,3365413.6009922293,1,0,0.0,,0,-1.0,0
q_200m_01,6,6,s120_x254287.293_y3364317.454,0.7362489104270935,120,254287.29280875245,3364317.454095203,17,6,0.35294117647058826,0.6901979446411133,0,-1.0,0
q_200m_01,7,7,s120_x255640.764_y3365601.700,0.7353053689002991,120,255640.76437190094,3365601.6998673794,4,4,1.0,0.0,0,-1.0,0
q_200m_01,8,8,s120_x254584.835_y3365085.528,0.7336137294769287,120,254584.83531152448,3365085.5278006354,7,4,0.5714285714285714,0.0,0,-1.0,0
q_200m_01,9,9,s80_x254053.067_y3364768.442,0.7295455932617188,80,254053.06710738334,3364768.4419510043,3,0,0.0,,0,-1.0,0
q_200m_01,10,10,s200_x254638.610_y3365734.565,0.7293630242347717,200,254638.6099540508,3365734.565271766,8,4,0.5,0.0,0,-1.0,0
q_200m_02,1,1,s120_x254301.063_y3364476.491,0.7921935319900513,120,254301.06292971745,3364476.490741796,5,0,0.0,,0,-1.0,0
q_200m_02,2,2,s120_x254287.293_y3364137.454,0.7901561260223389,120,254287.29280875245,3364137.454095203,11,4,0.36363636363636365,0.0,0,-1.0,0
q_200m_02,3,3,s120_x254287.293_y3364317.454,0.7884694933891296,120,254287.29280875245,3364317.454095203,14,5,0.35714285714285715,0.41544580459594727,0,-1.0,0
q_200m_02,4,4,s80_x254414.835_y3365185.528,0.7851552367210388,80,254414.83531152448,3365185.5278006354,5,0,0.0,,0,-1.0,0
q_200m_02,5,5,s120_x254481.063_y3364926.491,0.7791846990585327,120,254481.06292971745,3364926.490741796,7,4,0.5714285714285714,0.0,0,-1.0,0
q_200m_02,6,6,s120_x254649.058_y3364464.565,0.7698119878768921,120,254649.0576404855,3364464.5652137767,12,4,0.3333333333333333,0.0,0,-1.0,0
q_200m_02,7,7,s80_x254267.293_y3364327.454,0.7672408223152161,80,254267.29280875245,3364327.454095203,2,0,0.0,,0,-1.0,0
q_200m_02,8,8,s200_x254297.293_y3364357.454,0.7667490243911743,200,254297.29280875245,3364357.454095203,37,0,0.0,,0,-1.0,0
q_200m_02,9,9,s120_x254211.063_y3364476.491,0.7662693858146667,120,254211.06292971745,3364476.490741796,9,4,0.4444444444444444,0.0,0,-1.0,0
q_200m_02,10,10,s200_x254461.063_y3364966.491,0.765280544757843,200,254461.06292971745,3364966.490741796,14,5,0.35714285714285715,1.1477057933807373,0,-1.0,0
q_200m_03,1,2,s120_x254739.058_y3364464.565,0.8695049285888672,120,254739.0576404855,3364464.5652137767,16,7,0.4375,0.19714774191379547,1,7043.552852258086,0
q_200m_03,2,1,s120_x254377.293_y3364407.454,0.8761274814605713,120,254377.29280875245,3364407.454095203,7,4,0.5714285714285714,0.0,0,-1.0,1
q_200m_03,3,3,s80_x254387.293_y3364387.454,0.8662261962890625,80,254387.29280875245,3364387.454095203,7,4,0.5714285714285714,0.0,0,-1.0,1
q_200m_03,4,4,s120_x254467.293_y3364137.454,0.8513576984405518,120,254467.29280875245,3364137.454095203,11,4,0.36363636363636365,0.0,0,-1.0,0
q_200m_03,5,5,s120_x254856.545_y3366042.637,0.8446732759475708,120,254856.5454075462,3366042.637183411,11,4,0.36363636363636365,0.0,0,-1.0,0
q_200m_03,6,6,s200_x254866.545_y3366022.637,0.8415963053703308,200,254866.5454075462,3366022.637183411,35,5,0.14285714285714285,1.0344148874282837,0,-1.0,0
q_200m_03,7,7,s200_x254447.293_y3364057.454,0.8391114473342896,200,254447.29280875245,3364057.454095203,19,5,0.2631578947368421,0.0,0,-1.0,0
q_200m_03,8,8,s120_x254404.835_y3365175.528,0.8374561667442322,120,254404.83531152448,3365175.5278006354,9,4,0.4444444444444444,0.0,0,-1.0,0
q_200m_03,9,9,s200_x254689.058_y3364504.565,0.8339167237281799,200,254689.0576404855,3364504.5652137767,28,5,0.17857142857142858,0.8432451486587524,0,-1.0,0
q_200m_03,10,10,s120_x254739.058_y3364554.565,0.8302475214004517,120,254739.0576404855,3364554.5652137767,9,4,0.4444444444444444,0.0,0,-1.0,0
q_200m_04,1,1,s120_x254739.058_y3364464.565,0.8701846599578857,120,254739.0576404855,3364464.5652137767,7,4,0.5714285714285714,0.0,0,-1.0,1
q_200m_04,2,2,s120_x254377.293_y3364407.454,0.8604283928871155,120,254377.29280875245,3364407.454095203,8,4,0.5,0.0,0,-1.0,0
q_200m_04,3,3,s80_x254387.293_y3364387.454,0.8427040576934814,80,254387.29280875245,3364387.454095203,3,0,0.0,,0,-1.0,0
q_200m_04,4,4,s120_x254856.545_y3366042.637,0.841198205947876,120,254856.5454075462,3366042.637183411,10,4,0.4,0.0,0,-1.0,0
q_200m_04,5,5,s120_x254467.293_y3364137.454,0.8371239900588989,120,254467.29280875245,3364137.454095203,7,4,0.5714285714285714,0.0,0,-1.0,0
q_200m_04,6,6,s200_x254447.293_y3364057.454,0.8249465823173523,200,254447.29280875245,3364057.454095203,17,6,0.35294117647058826,0.487988144159317,0,-1.0,0
q_200m_04,7,7,s200_x254866.545_y3366022.637,0.8248921632766724,200,254866.5454075462,3366022.637183411,31,6,0.1935483870967742,3.159595251083374,0,-1.0,0
q_200m_04,8,8,s120_x254404.835_y3365175.528,0.8233832120895386,120,254404.83531152448,3365175.5278006354,8,4,0.5,0.0,0,-1.0,0
q_200m_04,9,9,s80_x254447.293_y3364387.454,0.8231984972953796,80,254447.29280875245,3364387.454095203,4,4,1.0,0.0,0,-1.0,0
q_200m_04,10,10,s200_x254689.058_y3364504.565,0.819438099861145,200,254689.0576404855,3364504.5652137767,23,6,0.2608695652173913,1.4491552114486694,0,-1.0,1
q_200m_05,1,3,s200_x254597.293_y3364207.454,0.8484377861022949,200,254597.29280875245,3364207.454095203,9,5,0.5555555555555556,0.911054253578186,1,5054.6445013019775,1
q_200m_05,2,4,s120_x254377.293_y3364317.454,0.848250687122345,120,254377.29280875245,3364317.454095203,12,5,0.4166666666666667,1.081747055053711,1,5040.584919611613,0
q_200m_05,3,8,s80_x254507.293_y3364207.454,0.8406391143798828,80,254507.29280875245,3364207.454095203,7,5,0.7142857142857143,0.766455352306366,1,5070.662116076265,1
q_200m_05,4,1,s120_x254467.293_y3364137.454,0.856103777885437,120,254467.29280875245,3364137.454095203,8,4,0.5,0.0,0,-1.0,0
q_200m_05,5,2,s200_x254689.058_y3364504.565,0.8495759963989258,200,254689.0576404855,3364504.5652137767,21,7,0.3333333333333333,2.716527223587036,0,-1.0,0
q_200m_05,6,5,s200_x254447.293_y3364357.454,0.8476364612579346,200,254447.29280875245,3364357.454095203,22,7,0.3181818181818182,0.3495236933231354,0,-1.0,0
q_200m_05,7,6,s120_x254739.058_y3364464.565,0.845902144908905,120,254739.0576404855,3364464.5652137767,4,4,1.0,0.0,0,-1.0,0
q_200m_05,8,7,s200_x254689.058_y3364804.565,0.841140627861023,200,254689.0576404855,3364804.5652137767,18,5,0.2777777777777778,0.8047469854354858,0,-1.0,0
q_200m_05,9,9,s200_x254866.545_y3366022.637,0.8399646282196045,200,254866.5454075462,3366022.637183411,25,6,0.24,0.8802189230918884,0,-1.0,0
q_200m_05,10,10,s120_x254467.293_y3364407.454,0.8393290042877197,120,254467.29280875245,3364407.454095203,7,4,0.5714285714285714,0.0,0,-1.0,0
